Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/infer [déjà vu],1506,0,6,37.58345392098053,2.0669960003942833,2760.3237240000453,223.83665338645417,8.387041605813877,0.0,7,8,9,9,11,14,23,2000,2500,2800,2800
POST,/infer [délesté 503],3270,3270,6,7.58503470610957,1.9097229996987153,85.56702799978666,64.0,18.210907072384714,18.210907072384714,6,8,9,9,12,15,23,36,81,86,86
POST,/infer [nouveau],437,0,2300.0,2298.819308933612,975.3333530006785,3188.0052389997218,227.37299771167048,2.4336900277162448,0.0,2300,2400,2500,2500,2600,2700,2800,3000,3200,3200,3200
,Aggregated,5213,3270,7,208.32299694954244,1.9097229996987153,3188.0052389997218,123.8710915020142,29.031638705914837,18.210907072384714,7,8,10,11,25,2200,2500,2600,2900,3200,3200
