Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/infer [déjà vu],1295,0,3,42.992000725094265,1.8469350006853347,3227.976841000782,223.9166023166023,7.250057909378192,0.0,3,4,5,5,7,9,16,2300,2800,3200,3200
POST,/infer [délesté 503],3695,3695,3,4.595743087153288,1.8005289994107443,93.24091800044698,64.0,20.686458668071367,20.686458668071367,3,4,4,5,7,10,14,24,69,93,93
POST,/infer [nouveau],318,0,2600.0,2587.658059805003,624.3113829996219,3591.6835959997115,227.39622641509433,1.7803231005268456,0.0,2600,2700,2700,2700,2800,2900,3000,3100,3600,3600,3600
,Aggregated,5308,3695,3,168.7134842999284,1.8005289994107443,3591.6835959997115,112.80406932931425,29.716839677976406,20.686458668071367,3,4,5,6,10,2500,2700,2800,3100,3600,3600
