Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790407494,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1790407495,10,,Aggregated,0.000000,0.000000,45,53,53,980,980,980,980,980,980,980,980,5,4,45,229.6755862000282,36.10508200017648,975.3333530006785,96.0
1790407496,20,,Aggregated,0.000000,0.000000,39,44,53,980,1600,1700,1700,1700,1700,1700,1700,18,14,36,322.8707912776877,8.297295999909693,1665.4120000002877,100.11111111111111
1790407497,30,,Aggregated,4.000000,4.000000,36,41,47,53,1700,2000,2600,2600,2600,2600,2600,42,33,36,355.7586924760991,2.9908840006100945,2578.5858710005414,99.02380952380952
1790407498,40,,Aggregated,8.000000,7.000000,33,38,41,45,1600,1800,2300,2600,2600,2600,2600,67,56,33,278.98154232828875,2.9908840006100945,2578.5858710005414,90.82089552238806
1790407499,50,,Aggregated,10.000000,8.000000,32,39,46,52,1000,1800,2100,2300,2600,2600,2600,104,86,32,225.6881912210859,2.558058999966306,2578.5858710005414,92.11538461538461
1790407500,50,,Aggregated,14.000000,11.750000,10,36,41,47,980,1900,2300,2400,2600,2600,2600,132,111,10,214.61702512873893,2.558058999966306,2578.5858710005414,89.85606060606061
1790407501,50,,Aggregated,17.200000,13.800000,8,33,39,44,980,2000,2300,2500,2600,2600,2600,161,132,8,221.47977501861544,2.558058999966306,2578.5858710005414,93.26086956521739
1790407502,50,,Aggregated,20.000000,16.666667,8,13,36,41,61,2000,2400,2500,2600,2600,2600,193,160,8,198.68883818649223,2.558058999966306,2578.5858710005414,91.75129533678756
1790407503,50,,Aggregated,21.857143,18.000000,8,11,34,39,63,2300,2600,2700,2800,2800,2800,226,187,8,218.9429599512969,2.558058999966306,2811.5001699998174,91.98672566371681
1790407504,50,,Aggregated,22.500000,18.625000,8,10,32,36,59,2300,2600,2700,3000,3000,3000,253,211,8,208.49612236360204,2.558058999966306,3031.8035699992834,90.89328063241106
1790407505,50,,Aggregated,23.111111,19.222222,8,10,16,36,59,2300,2700,2800,3000,3000,3000,282,235,7,217.387164290748,2.558058999966306,3031.8035699992834,90.98226950354609
1790407506,50,,Aggregated,23.700000,19.700000,8,10,15,35,59,2300,2700,2800,3000,3000,3000,307,256,8,217.61589402276724,2.305999999407504,3031.8035699992834,90.88599348534201
1790407507,50,,Aggregated,26.200000,21.700000,7,9,13,33,59,2300,2700,2800,3000,3000,3000,340,285,7,217.0967725205575,2.305999999407504,3031.8035699992834,90.20882352941176
1790407508,50,,Aggregated,27.900000,23.200000,7,9,12,32,59,2300,2600,2800,3000,3000,3000,366,306,7,214.28802199723518,1.9097229996987153,3031.8035699992834,90.57103825136612
1790407509,50,,Aggregated,29.500000,24.800000,7,9,12,30,59,2300,2600,2800,3000,3000,3000,398,331,7,218.95487960549679,1.9097229996987153,3031.8035699992834,91.28894472361809
1790407510,50,,Aggregated,29.700000,24.900000,7,9,11,16,59,2300,2600,2800,3000,3000,3000,424,351,7,217.02607125468688,1.9097229996987153,3031.8035699992834,91.89622641509433
1790407511,50,,Aggregated,29.800000,25.200000,7,9,11,15,58,2300,2600,2800,3000,3000,3000,454,378,7,213.12867542727759,1.9097229996987153,3031.8035699992834,91.13656387665198
1790407512,50,,Aggregated,28.800000,24.000000,7,9,11,15,58,2300,2600,2800,3000,3000,3000,484,403,7,214.26401410740428,1.9097229996987153,3031.8035699992834,91.14256198347107
1790407513,50,,Aggregated,28.900000,24.100000,7,9,11,14,58,2300,2600,2700,3000,3000,3000,512,422,7,216.06218132808962,1.9097229996987153,3031.8035699992834,92.478515625
1790407514,50,,Aggregated,29.400000,24.600000,7,9,11,14,58,2300,2600,2700,3000,3000,3000,541,443,7,216.1399298668801,1.9097229996987153,3031.8035699992834,93.31977818853974
1790407515,50,,Aggregated,28.900000,24.000000,7,9,11,13,54,2300,2600,2700,3000,3000,3000,577,471,7,210.27685519061205,1.9097229996987153,3031.8035699992834,93.71750433275564
1790407516,50,,Aggregated,29.400000,23.800000,7,9,11,14,58,2300,2600,2700,3000,3000,3000,600,490,7,214.4312359033046,1.9097229996987153,3031.8035699992834,93.67166666666667
1790407517,50,,Aggregated,28.900000,23.100000,7,9,11,13,58,2300,2600,2700,3000,3000,3000,630,509,7,215.2324582666336,1.9097229996987153,3031.8035699992834,95.06031746031746
1790407518,50,,Aggregated,29.000000,23.100000,7,9,10,13,54,2300,2600,2700,3000,3000,3000,658,528,7,212.26445176593043,1.9097229996987153,3031.8035699992834,95.94224924012158
1790407519,50,,Aggregated,28.900000,22.900000,7,9,10,12,53,2300,2600,2700,3000,3000,3000,693,550,7,208.55036770704447,1.9097229996987153,3031.8035699992834,97.36219336219337
